statement,value
"""Hospitals murdered patients” with remdesivir, a drug banned from Ebola trials because of “53% kill rate.”",0
"""Pfizer CEO Albert Bourla admitted yesterday that Covid was used as a test.”",0
The 9th Circuit Court of Appeals “just ruled Covid vax mandates unconstitutional.”,0
The World Health Organization is discussing ending the First Amendment.,0
COVID-19 “vaccine injuries exposed in newly uncovered data.”,0
Notice from a New Jersey doctor’s office proves that COVID-19 vaccines are dangerous for athletes.,0
"World Health Organization pandemic accord “would take away American sovereignty and give the WHO power to put in legally binding policies in America in the case of another pandemic.""",0
Says Donald Trump “told Americans all they had to do was inject bleach in themselves. Just take a shot of UV light.”,0
A study that found sunbathing can increase the risk of heart disease is a cover-up for the “side-effects of the vax.”,0
“Al CDC sólo le tomó 4 AÑOS estar de acuerdo con ‘teóricos de la conspiración’ que dijeron en 2020 que: COVID es más o menos como la GRIPE”.,0
“The CDC officially agrees with ‘conspiracy theorists’ from 2020” who wanted to treat COVID-19 like the flu.,0
"It was not former President Donald Trump who promoted the COVID-19 vaccine, but a “lookalike.”",0
The American Red Cross asking blood donors about their vaccination status proves COVID-19 vaccines are dangerous.,0
COVID-19 is caused by radiation poisoning.,0
Paper shows “mRNA COVID-19 vaccines caused more deaths” than lives saved.,0
The Marburg virus has been implanted into people who were vaccinated and has nanotechnology that can be activated through 5G technology.,0
Democrats “used COVID to cheat” in the 2020 election.,0
The Pfizer COVID-19 vaccine “shuts off” recipients’ hearts.,0
Chinese scientists “created (a) new COVID-19 strain (with) 100% fatality.”,0
Sports journalist Mike Dickson died because of COVID-19 vaccines.,0
"“Every booster you take, you’re more likely to get COVID as a result of it.”",0
World Economic Forum event is evidence that global leaders are planning a new pandemic called Disease X.,0
Suggests there have been 17 million deaths from the COVID-19 vaccines.,0
Zombie deer virus is sweeping across 32 states after more than 100 million American wildlife animals were vaccinated by Mark Zuckerberg’s foundation.,0
“Nationwide data reveals surging levels of newest COVID strain in water supply.”,0
"“Right now, over 70% of federal employees are still working from home three years after COVID.""",0
Iceland has banned COVID-19 vaccines “amid soaring sudden deaths.”,0
"""You’re in danger” because the American Red Cross doesn’t label blood donations from donors vaccinated against COVID-19.",0
Photo shows “Pfizer CEO Albert Bourla wearing a mask in November 2023.”,0
Rise in U.S. infant mortality rate connected to COVID-19 vaccines.,0
Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,0
“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,1
Matthew Perry died because of a COVID-19 vaccine.,0
“The FDA is required to take the COVID vaccines off the market” because they are “adulterated.”,0
"""Bill Gates mRNA 'air vaccine' approved for use against non-consenting humans""",0
“CDC admits it faked 99% of COVID deaths to scare public into taking vaccine.”,0
“A new deadly pandemic is at our doorstep.”,0
Sen. Dianne Feinstein tweeted about getting COVID-19 and flu vaccines days before her death.,0
A 1970s public service announcement offers tips for avoiding the coronavirus.,0
"“They brought in 25,000 (National Guard members) because Biden couldn't get enough people to his inauguration.”",0
"Supervisores del TSA de Estados Unidos tuvieron una junta y ""para mediados de octubre van a decir que cualquiera persona que vaya a volar, va a tener que usar el tapabocas otra vez"".",0
An emergency broadcast system test will “send a specific high-frequency signal … with the intention of activating graphene oxide” in people.,0
“People who took the jab are technically ‘non human species.’”,0
"In Westport, Connecticut, drones are “scanning (people) for COVID-19 symptoms.”",0
A World Economic Forum video reveals conspiracy behind COVID-19 spread.,0
"“Florida sort of had a mandate because they were giving the vaccine, they were demanding everybody take the vaccine.”",0
"The WHO is developing a pandemic treaty that will remove current human rights protections, enforce surveillance and censorship and eliminate freedom of speech.",0
Speaker at World Economic Forum conference proposed adding COVID-19 vaccines to water supply.,0
“CDC says new COVID variant is more contagious among vaccinated people than those unvaccinated.”,0
"Women vaccinated against COVID-19 face ""unknown side effects that could perpetually go down through the lineage"" to their children.",0
"""Malaysian doctor put to death for giving COVID injection under the (Nuremberg) Code.”",0
"The World Health Organization said there is ""a possible causal relationship"" between COVID-19 vaccines and multiple sclerosis.",0
El COVID-19 “nunca existio”.,0
“New global virus called ID-10T is spreading quickly.”,0
"La vacuna contra COVID-19 ""contiene óxido de grafeno"" y para desintoxicarte toma ""dióxido de cloro"".",0
“The FDA is now saying that it’s OK to take ivermectin if you have COVID.”,0
"COVID-19 vaccines have killed 676,000 Americans.",0
“Disease X” is “the next plandemic.”,0
People who received COVID-19 vaccines can “detoxify” their bodies from the spike protein.,0
"Says Bill Gates said, “We’re taking things that are genetically modified organisms, and we’re injecting them into little kids’ arms” in the context of the COVID-19 pandemic.",0
Video shows a van “‘Queer testing’ kids without parental approval … (that) involves clothing removal.”,0
“A Pfizer warehouse full of Covid vaccines was just DESTROYED BY A TORNADO in North Carolina.”,0
Klaus Schwab “publicly admitted he is planning to implement China-style forced COVID lockdowns all over the world during the ‘next pandemic.’”,0
ESPN soccer analyst Shaka Hislop collapsed on air because of the COVID-19 vaccine.,0
“COVID-19 is targeted to attack Caucasians and Black people. The people who are most immune are Ashkenazi Jews and Chinese.”,0
"""Florida to ban mRNA vaccines as credible evidence of biological weapons.""",0
